Title,tokens,tokens_no_stopwords,lemmatized_tokens,lemmatized_tokens,Cluster_Classification
Rival parties each claim edge in Pakistan election,"['Rival', 'parties', 'each', 'claim', 'edge', 'in', 'Pakistan', 'election']","['Rival', 'parties', 'claim', 'edge', 'Pakistan', 'election']","['rival', 'party', 'claim', 'edge', 'pakistan', 'election']","['rival', 'party', 'claim', 'edge', 'pakistan', 'election']",1
"Against the odds, election shows Imran Khan's support is solid","['Against', 'the', 'odds', ',', 'election', 'shows', 'Imran', 'Khan', ""'s"", 'support', 'is', 'solid']","['odds', 'election', 'shows', 'Imran', 'Khan', 'support', 'solid']","['odds', 'election', 'show', 'imran', 'khan', 'support', 'solid']","['odds', 'election', 'show', 'imran', 'khan', 'support', 'solid']",1
Foes turn friends as an 'impossible' nation tests its democracy,"['Foes', 'turn', 'friends', 'as', 'an', ""'impossible"", ""'"", 'nation', 'tests', 'its', 'democracy']","['Foes', 'turn', 'friends', 'nation', 'tests', 'democracy']","['foe', 'turn', 'friend', 'nation', 'test', 'democracy']","['foe', 'turn', 'friend', 'nation', 'test', 'democracy']",1
The Ukrainians 'disappearing' in Russia's prisons,"['The', 'Ukrainians', ""'disappearing"", ""'"", 'in', 'Russia', ""'s"", 'prisons']","['Ukrainians', 'Russia', 'prisons']","['ukrainian', 'russia', 'prison']","['ukrainian', 'russia', 'prison']",1
"Israeli soldier videos from Gaza could breach international law, experts say","['Israeli', 'soldier', 'videos', 'from', 'Gaza', 'could', 'breach', 'international', 'law', ',', 'experts', 'say']","['Israeli', 'soldier', 'videos', 'Gaza', 'could', 'breach', 'international', 'law', 'experts', 'say']","['israeli', 'soldier', 'video', 'gaza', 'could', 'breach', 'international', 'law', 'expert', 'say']","['israeli', 'soldier', 'video', 'gaza', 'could', 'breach', 'international', 'law', 'expert', 'say']",1
Netanyahu orders military to plan Rafah evacuation,"['Netanyahu', 'orders', 'military', 'to', 'plan', 'Rafah', 'evacuation']","['Netanyahu', 'orders', 'military', 'plan', 'Rafah', 'evacuation']","['netanyahu', 'order', 'military', 'plan', 'rafah', 'evacuation']","['netanyahu', 'order', 'military', 'plan', 'rafah', 'evacuation']",1
Indian textiles tycoon hit with fresh allegations,"['Indian', 'textiles', 'tycoon', 'hit', 'with', 'fresh', 'allegations']","['Indian', 'textiles', 'tycoon', 'hit', 'fresh', 'allegations']","['indian', 'textile', 'tycoon', 'hit', 'fresh', 'allegation']","['indian', 'textile', 'tycoon', 'hit', 'fresh', 'allegation']",1
VideoBBC returns to ghost town flattened by Japan quake,"['VideoBBC', 'returns', 'to', 'ghost', 'town', 'flattened', 'by', 'Japan', 'quake']","['VideoBBC', 'returns', 'ghost', 'town', 'flattened', 'Japan', 'quake']","['videobbc', 'return', 'ghost', 'town', 'flattened', 'japan', 'quake']","['videobbc', 'return', 'ghost', 'town', 'flattened', 'japan', 'quake']",1
Matchstick Eiffel Tower a world record after U-turn,"['Matchstick', 'Eiffel', 'Tower', 'a', 'world', 'record', 'after', 'U-turn']","['Matchstick', 'Eiffel', 'Tower', 'world', 'record']","['matchstick', 'eiffel', 'tower', 'world', 'record']","['matchstick', 'eiffel', 'tower', 'world', 'record']",0
Democrats rally around Biden after age worries,"['Democrats', 'rally', 'around', 'Biden', 'after', 'age', 'worries']","['Democrats', 'rally', 'around', 'Biden', 'age', 'worries']","['democrat', 'rally', 'around', 'biden', 'age', 'worry']","['democrat', 'rally', 'around', 'biden', 'age', 'worry']",3
Ukraine's missing children traced by digital sleuths,"['Ukraine', ""'s"", 'missing', 'children', 'traced', 'by', 'digital', 'sleuths']","['Ukraine', 'missing', 'children', 'traced', 'digital', 'sleuths']","['ukraine', 'missing', 'child', 'traced', 'digital', 'sleuth']","['ukraine', 'missing', 'child', 'traced', 'digital', 'sleuth']",1
Democrats rally around Biden after age worries,"['Democrats', 'rally', 'around', 'Biden', 'after', 'age', 'worries']","['Democrats', 'rally', 'around', 'Biden', 'age', 'worries']","['democrat', 'rally', 'around', 'biden', 'age', 'worry']","['democrat', 'rally', 'around', 'biden', 'age', 'worry']",3
Ukraine's missing children traced by digital sleuths,"['Ukraine', ""'s"", 'missing', 'children', 'traced', 'by', 'digital', 'sleuths']","['Ukraine', 'missing', 'children', 'traced', 'digital', 'sleuths']","['ukraine', 'missing', 'child', 'traced', 'digital', 'sleuth']","['ukraine', 'missing', 'child', 'traced', 'digital', 'sleuth']",1
Swimmer Magnussen to make doping 'world record' attempt,"['Swimmer', 'Magnussen', 'to', 'make', 'doping', ""'world"", 'record', ""'"", 'attempt']","['Swimmer', 'Magnussen', 'make', 'doping', 'record', 'attempt']","['swimmer', 'magnussen', 'make', 'doping', 'record', 'attempt']","['swimmer', 'magnussen', 'make', 'doping', 'record', 'attempt']",0
VideoThese three friends have attended all 58 Super Bowls,"['VideoThese', 'three', 'friends', 'have', 'attended', 'all', '58', 'Super', 'Bowls']","['VideoThese', 'three', 'friends', 'attended', '58', 'Super', 'Bowls']","['videothese', 'three', 'friend', 'attended', '58', 'super', 'bowl']","['videothese', 'three', 'friend', 'attended', '58', 'super', 'bowl']",1
Prince Harry settles phone hacking claim with Mirror group,"['Prince', 'Harry', 'settles', 'phone', 'hacking', 'claim', 'with', 'Mirror', 'group']","['Prince', 'Harry', 'settles', 'phone', 'hacking', 'claim', 'Mirror', 'group']","['prince', 'harry', 'settle', 'phone', 'hacking', 'claim', 'mirror', 'group']","['prince', 'harry', 'settle', 'phone', 'hacking', 'claim', 'mirror', 'group']",1
Who is really pulling the strings in a divided Pakistan?,"['Who', 'is', 'really', 'pulling', 'the', 'strings', 'in', 'a', 'divided', 'Pakistan', '?']","['really', 'pulling', 'strings', 'divided', 'Pakistan']","['really', 'pulling', 'string', 'divided', 'pakistan']","['really', 'pulling', 'string', 'divided', 'pakistan']",0
'My mother doesn't know if she's married or a widow',"[""'My"", 'mother', 'does', ""n't"", 'know', 'if', 'she', ""'s"", 'married', 'or', 'a', 'widow', ""'""]","['mother', 'know', 'married', 'widow']","['mother', 'know', 'married', 'widow']","['mother', 'know', 'married', 'widow']",1
Pakistan's king of comebacks looks set to win again,"['Pakistan', ""'s"", 'king', 'of', 'comebacks', 'looks', 'set', 'to', 'win', 'again']","['Pakistan', 'king', 'comebacks', 'looks', 'set', 'win']","['pakistan', 'king', 'comeback', 'look', 'set', 'win']","['pakistan', 'king', 'comeback', 'look', 'set', 'win']",1
How Imran Khan plans to win an election from jail,"['How', 'Imran', 'Khan', 'plans', 'to', 'win', 'an', 'election', 'from', 'jail']","['Imran', 'Khan', 'plans', 'win', 'election', 'jail']","['imran', 'khan', 'plan', 'win', 'election', 'jail']","['imran', 'khan', 'plan', 'win', 'election', 'jail']",1
"A jailed star and former convict: Pakistan's election, explained","['A', 'jailed', 'star', 'and', 'former', 'convict', ':', 'Pakistan', ""'s"", 'election', ',', 'explained']","['jailed', 'star', 'former', 'convict', 'Pakistan', 'election', 'explained']","['jailed', 'star', 'former', 'convict', 'pakistan', 'election', 'explained']","['jailed', 'star', 'former', 'convict', 'pakistan', 'election', 'explained']",1
"A mosque demolished, and orphans displaced in India","['A', 'mosque', 'demolished', ',', 'and', 'orphans', 'displaced', 'in', 'India']","['mosque', 'demolished', 'orphans', 'displaced', 'India']","['mosque', 'demolished', 'orphan', 'displaced', 'india']","['mosque', 'demolished', 'orphan', 'displaced', 'india']",1
BBC World News TV,"['BBC', 'World', 'News', 'TV']","['BBC', 'World', 'News', 'TV']","['bbc', 'world', 'news', 'tv']","['bbc', 'world', 'news', 'tv']",0
AudioBBC World Service Radio,"['AudioBBC', 'World', 'Service', 'Radio']","['AudioBBC', 'World', 'Service', 'Radio']","['audiobbc', 'world', 'service', 'radio']","['audiobbc', 'world', 'service', 'radio']",1
What's next in Prince Harry's war against the media?,"['What', ""'s"", 'next', 'in', 'Prince', 'Harry', ""'s"", 'war', 'against', 'the', 'media', '?']","['next', 'Prince', 'Harry', 'war', 'media']","['next', 'prince', 'harry', 'war', 'medium']","['next', 'prince', 'harry', 'war', 'medium']",1
Is Iceland entering a new volcanic era?,"['Is', 'Iceland', 'entering', 'a', 'new', 'volcanic', 'era', '?']","['Iceland', 'entering', 'new', 'volcanic', 'era']","['iceland', 'entering', 'new', 'volcanic', 'era']","['iceland', 'entering', 'new', 'volcanic', 'era']",1
Fact-checking Putin's 'nonsense' history,"['Fact-checking', 'Putin', ""'s"", ""'nonsense"", ""'"", 'history']","['Putin', 'history']","['putin', 'history']","['putin', 'history']",2
Prosecutor faces political glare after Biden report,"['Prosecutor', 'faces', 'political', 'glare', 'after', 'Biden', 'report']","['Prosecutor', 'faces', 'political', 'glare', 'Biden', 'report']","['prosecutor', 'face', 'political', 'glare', 'biden', 'report']","['prosecutor', 'face', 'political', 'glare', 'biden', 'report']",1
Biden gaffe sparks 'they've both got pyramids' jokes,"['Biden', 'gaffe', 'sparks', ""'they"", ""'ve"", 'both', 'got', 'pyramids', ""'"", 'jokes']","['Biden', 'gaffe', 'sparks', 'got', 'pyramids', 'jokes']","['biden', 'gaffe', 'spark', 'got', 'pyramid', 'joke']","['biden', 'gaffe', 'spark', 'got', 'pyramid', 'joke']",2
VideoBBC World Service,"['VideoBBC', 'World', 'Service']","['VideoBBC', 'World', 'Service']","['videobbc', 'world', 'service']","['videobbc', 'world', 'service']",0
VideoThese three friends have attended all 58 Super Bowls,"['VideoThese', 'three', 'friends', 'have', 'attended', 'all', '58', 'Super', 'Bowls']","['VideoThese', 'three', 'friends', 'attended', '58', 'Super', 'Bowls']","['videothese', 'three', 'friend', 'attended', '58', 'super', 'bowl']","['videothese', 'three', 'friend', 'attended', '58', 'super', 'bowl']",1
VideoEscaped kangaroo bounces into trouble by Florida pool,"['VideoEscaped', 'kangaroo', 'bounces', 'into', 'trouble', 'by', 'Florida', 'pool']","['VideoEscaped', 'kangaroo', 'bounces', 'trouble', 'Florida', 'pool']","['videoescaped', 'kangaroo', 'bounce', 'trouble', 'florida', 'pool']","['videoescaped', 'kangaroo', 'bounce', 'trouble', 'florida', 'pool']",1
VideoBBC returns to ghost town flattened by Japan quake,"['VideoBBC', 'returns', 'to', 'ghost', 'town', 'flattened', 'by', 'Japan', 'quake']","['VideoBBC', 'returns', 'ghost', 'town', 'flattened', 'Japan', 'quake']","['videobbc', 'return', 'ghost', 'town', 'flattened', 'japan', 'quake']","['videobbc', 'return', 'ghost', 'town', 'flattened', 'japan', 'quake']",1
VideoHundreds of Sir Elton John's belongings up for auction,"['VideoHundreds', 'of', 'Sir', 'Elton', 'John', ""'s"", 'belongings', 'up', 'for', 'auction']","['VideoHundreds', 'Sir', 'Elton', 'John', 'belongings', 'auction']","['videohundreds', 'sir', 'elton', 'john', 'belonging', 'auction']","['videohundreds', 'sir', 'elton', 'john', 'belonging', 'auction']",1
"Swift, swimming and snow: Photos of the week","['Swift', ',', 'swimming', 'and', 'snow', ':', 'Photos', 'of', 'the', 'week']","['Swift', 'swimming', 'snow', 'Photos', 'week']","['swift', 'swimming', 'snow', 'photo', 'week']","['swift', 'swimming', 'snow', 'photo', 'week']",1
German chancellor finds doppelganger in US senator,"['German', 'chancellor', 'finds', 'doppelganger', 'in', 'US', 'senator']","['German', 'chancellor', 'finds', 'doppelganger', 'US', 'senator']","['german', 'chancellor', 'find', 'doppelganger', 'u', 'senator']","['german', 'chancellor', 'find', 'doppelganger', 'u', 'senator']",1
"Without competition, Donald Trump cruises to Nevada win","['Without', 'competition', ',', 'Donald', 'Trump', 'cruises', 'to', 'Nevada', 'win']","['Without', 'competition', 'Donald', 'Trump', 'cruises', 'Nevada', 'win']","['without', 'competition', 'donald', 'trump', 'cruise', 'nevada', 'win']","['without', 'competition', 'donald', 'trump', 'cruise', 'nevada', 'win']",1
Guilty verdict in sensational Kenya murder trial,"['Guilty', 'verdict', 'in', 'sensational', 'Kenya', 'murder', 'trial']","['Guilty', 'verdict', 'sensational', 'Kenya', 'murder', 'trial']","['guilty', 'verdict', 'sensational', 'kenya', 'murder', 'trial']","['guilty', 'verdict', 'sensational', 'kenya', 'murder', 'trial']",1
VideoEscaped kangaroo bounces into trouble by Florida pool,"['VideoEscaped', 'kangaroo', 'bounces', 'into', 'trouble', 'by', 'Florida', 'pool']","['VideoEscaped', 'kangaroo', 'bounces', 'trouble', 'Florida', 'pool']","['videoescaped', 'kangaroo', 'bounce', 'trouble', 'florida', 'pool']","['videoescaped', 'kangaroo', 'bounce', 'trouble', 'florida', 'pool']",1
Axe-wielding hostage-taker shot dead on Swiss train,"['Axe-wielding', 'hostage-taker', 'shot', 'dead', 'on', 'Swiss', 'train']","['shot', 'dead', 'Swiss', 'train']","['shot', 'dead', 'swiss', 'train']","['shot', 'dead', 'swiss', 'train']",1
Weekly quiz: Who beat Miley to win Song Of The Year?,"['Weekly', 'quiz', ':', 'Who', 'beat', 'Miley', 'to', 'win', 'Song', 'Of', 'The', 'Year', '?']","['Weekly', 'quiz', 'beat', 'Miley', 'win', 'Song', 'Year']","['weekly', 'quiz', 'beat', 'miley', 'win', 'song', 'year']","['weekly', 'quiz', 'beat', 'miley', 'win', 'song', 'year']",1
US warns Israel sending troops into Rafah risks 'disaster',"['US', 'warns', 'Israel', 'sending', 'troops', 'into', 'Rafah', 'risks', ""'disaster"", ""'""]","['US', 'warns', 'Israel', 'sending', 'troops', 'Rafah', 'risks']","['u', 'warns', 'israel', 'sending', 'troop', 'rafah', 'risk']","['u', 'warns', 'israel', 'sending', 'troop', 'rafah', 'risk']",1
Netanyahu rejects Hamas's proposed ceasefire terms,"['Netanyahu', 'rejects', 'Hamas', ""'s"", 'proposed', 'ceasefire', 'terms']","['Netanyahu', 'rejects', 'Hamas', 'proposed', 'ceasefire', 'terms']","['netanyahu', 'reject', 'hamas', 'proposed', 'ceasefire', 'term']","['netanyahu', 'reject', 'hamas', 'proposed', 'ceasefire', 'term']",1
"At least half of Gaza buildings damaged or destroyed, new analysis shows","['At', 'least', 'half', 'of', 'Gaza', 'buildings', 'damaged', 'or', 'destroyed', ',', 'new', 'analysis', 'shows']","['least', 'half', 'Gaza', 'buildings', 'damaged', 'destroyed', 'new', 'analysis', 'shows']","['least', 'half', 'gaza', 'building', 'damaged', 'destroyed', 'new', 'analysis', 'show']","['least', 'half', 'gaza', 'building', 'damaged', 'destroyed', 'new', 'analysis', 'show']",1
UN warning that Gaza aid system could collapse,"['UN', 'warning', 'that', 'Gaza', 'aid', 'system', 'could', 'collapse']","['UN', 'warning', 'Gaza', 'aid', 'system', 'could', 'collapse']","['un', 'warning', 'gaza', 'aid', 'system', 'could', 'collapse']","['un', 'warning', 'gaza', 'aid', 'system', 'could', 'collapse']",1
Israel West Bank hospital raid kills three Palestinian fighters,"['Israel', 'West', 'Bank', 'hospital', 'raid', 'kills', 'three', 'Palestinian', 'fighters']","['Israel', 'West', 'Bank', 'hospital', 'raid', 'kills', 'three', 'Palestinian', 'fighters']","['israel', 'west', 'bank', 'hospital', 'raid', 'kill', 'three', 'palestinian', 'fighter']","['israel', 'west', 'bank', 'hospital', 'raid', 'kill', 'three', 'palestinian', 'fighter']",1
"Israeli soldier videos from Gaza could breach international law, experts say","['Israeli', 'soldier', 'videos', 'from', 'Gaza', 'could', 'breach', 'international', 'law', ',', 'experts', 'say']","['Israeli', 'soldier', 'videos', 'Gaza', 'could', 'breach', 'international', 'law', 'experts', 'say']","['israeli', 'soldier', 'video', 'gaza', 'could', 'breach', 'international', 'law', 'expert', 'say']","['israeli', 'soldier', 'video', 'gaza', 'could', 'breach', 'international', 'law', 'expert', 'say']",1
An 'impossible' country tests its hard-won democracy,"['An', ""'impossible"", ""'"", 'country', 'tests', 'its', 'hard-won', 'democracy']","['country', 'tests', 'democracy']","['country', 'test', 'democracy']","['country', 'test', 'democracy']",1
Indian textiles tycoon hit with fresh allegations,"['Indian', 'textiles', 'tycoon', 'hit', 'with', 'fresh', 'allegations']","['Indian', 'textiles', 'tycoon', 'hit', 'fresh', 'allegations']","['indian', 'textile', 'tycoon', 'hit', 'fresh', 'allegation']","['indian', 'textile', 'tycoon', 'hit', 'fresh', 'allegation']",1
Rival parties each claim edge in Pakistan election,"['Rival', 'parties', 'each', 'claim', 'edge', 'in', 'Pakistan', 'election']","['Rival', 'parties', 'claim', 'edge', 'Pakistan', 'election']","['rival', 'party', 'claim', 'edge', 'pakistan', 'election']","['rival', 'party', 'claim', 'edge', 'pakistan', 'election']",1
Biden gaffe sparks 'they've both got pyramids' jokes,"['Biden', 'gaffe', 'sparks', ""'they"", ""'ve"", 'both', 'got', 'pyramids', ""'"", 'jokes']","['Biden', 'gaffe', 'sparks', 'got', 'pyramids', 'jokes']","['biden', 'gaffe', 'spark', 'got', 'pyramid', 'joke']","['biden', 'gaffe', 'spark', 'got', 'pyramid', 'joke']",2
Matchstick Eiffel Tower a world record after U-turn,"['Matchstick', 'Eiffel', 'Tower', 'a', 'world', 'record', 'after', 'U-turn']","['Matchstick', 'Eiffel', 'Tower', 'world', 'record']","['matchstick', 'eiffel', 'tower', 'world', 'record']","['matchstick', 'eiffel', 'tower', 'world', 'record']",0
Democrats rally around Biden after age worries,"['Democrats', 'rally', 'around', 'Biden', 'after', 'age', 'worries']","['Democrats', 'rally', 'around', 'Biden', 'age', 'worries']","['democrat', 'rally', 'around', 'biden', 'age', 'worry']","['democrat', 'rally', 'around', 'biden', 'age', 'worry']",3
Netanyahu orders military to plan Rafah evacuation,"['Netanyahu', 'orders', 'military', 'to', 'plan', 'Rafah', 'evacuation']","['Netanyahu', 'orders', 'military', 'plan', 'Rafah', 'evacuation']","['netanyahu', 'order', 'military', 'plan', 'rafah', 'evacuation']","['netanyahu', 'order', 'military', 'plan', 'rafah', 'evacuation']",1
German chancellor finds doppelganger in US senator,"['German', 'chancellor', 'finds', 'doppelganger', 'in', 'US', 'senator']","['German', 'chancellor', 'finds', 'doppelganger', 'US', 'senator']","['german', 'chancellor', 'find', 'doppelganger', 'u', 'senator']","['german', 'chancellor', 'find', 'doppelganger', 'u', 'senator']",1
Fact-checking Putin's 'nonsense' history,"['Fact-checking', 'Putin', ""'s"", ""'nonsense"", ""'"", 'history']","['Putin', 'history']","['putin', 'history']","['putin', 'history']",2
How cancer risk increases with age,"['How', 'cancer', 'risk', 'increases', 'with', 'age']","['cancer', 'risk', 'increases', 'age']","['cancer', 'risk', 'increase', 'age']","['cancer', 'risk', 'increase', 'age']",0
Companies anger consumers on Lunar New Year,"['Companies', 'anger', 'consumers', 'on', 'Lunar', 'New', 'Year']","['Companies', 'anger', 'consumers', 'Lunar', 'New', 'Year']","['company', 'anger', 'consumer', 'lunar', 'new', 'year']","['company', 'anger', 'consumer', 'lunar', 'new', 'year']",1
Why 'third culture' is TikTok's favourite new food,"['Why', ""'third"", 'culture', ""'"", 'is', 'TikTok', ""'s"", 'favourite', 'new', 'food']","['culture', 'TikTok', 'favourite', 'new', 'food']","['culture', 'tiktok', 'favourite', 'new', 'food']","['culture', 'tiktok', 'favourite', 'new', 'food']",1
How polyamory became a 'new normal',"['How', 'polyamory', 'became', 'a', ""'new"", 'normal', ""'""]","['polyamory', 'became', 'normal']","['polyamory', 'became', 'normal']","['polyamory', 'became', 'normal']",1
The bumblebee battle against invasive hornets,"['The', 'bumblebee', 'battle', 'against', 'invasive', 'hornets']","['bumblebee', 'battle', 'invasive', 'hornets']","['bumblebee', 'battle', 'invasive', 'hornet']","['bumblebee', 'battle', 'invasive', 'hornet']",1
Big Tech jobs have lost their glamour,"['Big', 'Tech', 'jobs', 'have', 'lost', 'their', 'glamour']","['Big', 'Tech', 'jobs', 'lost', 'glamour']","['big', 'tech', 'job', 'lost', 'glamour']","['big', 'tech', 'job', 'lost', 'glamour']",1
"The 1,600-year-old alphabet imbued with secrets","['The', '1,600-year-old', 'alphabet', 'imbued', 'with', 'secrets']","['alphabet', 'imbued', 'secrets']","['alphabet', 'imbued', 'secret']","['alphabet', 'imbued', 'secret']",0
